Business Date,  Fixed Income  , Deposits , Other liabilities , Secured Funding , Equities , Unsecured Funding ,,
12/7/2018," 4,694,442 "," 75,724,685 "," 5,527,521 "," 289,910 "," 419,766 "," 330,131 ",,
12/10/2018," 4,670,514 "," 75,927,960 "," 5,499,006 "," 283,900 "," 418,257 "," 329,795 ",,
12/11/2018," 4,983,825 "," 77,151,422 "," 5,634,070 "," 283,996 "," 417,841 "," 331,202 ",,
12/12/2018," 4,898,426 "," 76,825,695 "," 5,554,813 "," 278,355 "," 424,683 "," 336,284 ",,
12/13/2018," 4,688,684 "," 75,577,642 "," 5,505,810 "," 289,528 "," 427,675 "," 328,731 ",,
12/14/2018," 4,597,479 "," 74,859,370 "," 5,442,601 "," 290,834 "," 426,654 "," 327,092 ",,
12/17/2018," 4,712,268 "," 81,005,522 "," 5,389,888 "," 280,811 "," 421,249 "," 319,794 ",,
12/18/2018," 4,292,085 "," 75,425,321 "," 5,492,515 "," 281,000 "," 423,363 "," 317,668 ",,
12/19/2018," 4,255,275 "," 76,087,753 "," 5,145,647 "," 286,888 "," 418,432 "," 315,620 ",,
12/20/2018," 3,023,740 "," 73,088,557 "," 5,312,608 "," 281,278 "," 416,334 "," 309,030 ",,
12/21/2018," 4,239,770 "," 72,467,295 "," 5,199,597 "," 277,140 "," 412,361 "," 309,802 ",,
12/24/2018," 4,315,268 "," 70,914,764 "," 4,983,455 "," 275,856 "," 411,019 "," 311,434 ",,
12/25/2018," 4,706,945 "," 48,714,764 "," 4,983,455 "," 275,856 "," 411,019 "," 311,435 ",,
12/26/2018," 4,114,831 "," 73,159,862 "," 4,947,276 "," 276,097 "," 418,042 "," 313,683 ",,
12/27/2018," 3,872,758 "," 76,889,636 "," 4,868,186 "," 268,884 "," 418,942 "," 312,938 ",,
12/28/2018," 3,804,711 "," 72,538,481 "," 4,794,598 "," 264,325 "," 410,677 "," 319,237 ",,
12/31/2018," 3,861,689 "," 71,641,902 "," 5,021,213 "," 246,260 "," 413,551 "," 319,195 ",,
1/1/2019," 4,131,426 "," 71,641,902 "," 5,021,213 "," 246,260 "," 413,551 "," 319,200 ",,
1/2/2019," 3,794,952 "," 76,584,785 "," 5,024,718 "," 266,136 "," 420,562 "," 318,214 ",,
1/3/2019," 3,877,401 "," 76,871,540 "," 5,424,784 "," 261,270 "," 420,586 "," 320,572 ",,
1/4/2019," 3,772,808 "," 76,570,762 "," 5,130,647 "," 269,781 "," 418,890 "," 325,407 ",,
1/7/2019," 4,270,047 "," 76,134,199 "," 4,670,670 "," 256,936 "," 415,612 "," 325,642 ",,
1/8/2019," 4,017,157 "," 76,299,678 "," 5,018,989 "," 259,018 "," 415,845 "," 326,914 ",,
1/9/2019," 4,101,653 "," 71,393,302 "," 5,235,228 "," 258,499 "," 414,923 "," 328,990 ",,
1/10/2019," 4,300,227 "," 75,387,510 "," 5,134,213 "," 266,406 "," 416,802 "," 330,308 ",,
1/11/2019," 4,259,080 "," 77,600,247 "," 4,886,910 "," 272,980 "," 422,617 "," 335,221 ",,
1/14/2019," 4,322,710 "," 76,413,023 "," 4,912,339 "," 261,484 "," 420,744 "," 334,115 ",,
1/15/2019," 4,822,439 "," 75,627,961 "," 5,013,569 "," 279,148 "," 420,610 "," 335,487 ",,
1/16/2019," 4,840,156 "," 76,092,040 "," 4,816,622 "," 285,027 "," 423,435 "," 336,066 ",,
1/17/2019," 4,475,790 "," 75,607,484 "," 4,681,187 "," 277,458 "," 424,291 "," 335,160 ",,
1/18/2019," 4,543,956 "," 74,161,508 "," 3,946,498 "," 271,514 "," 425,807 "," 336,764 ",,
1/22/2019," 4,588,617 "," 72,382,848 "," 4,678,564 "," 277,734 "," 421,247 "," 335,873 ",,
1/23/2019," 4,654,981 "," 72,198,847 "," 4,666,692 "," 282,010 "," 413,232 "," 333,865 ",,
1/24/2019," 4,638,300 "," 73,506,638 "," 4,632,262 "," 270,730 "," 404,979 "," 333,924 ",,
1/25/2019," 4,600,016 "," 73,864,002 "," 4,676,299 "," 277,324 "," 405,169 "," 338,966 ",,
1/28/2019," 4,486,568 "," 71,113,580 "," 4,785,009 "," 278,155 "," 407,568 "," 335,573 ",,
1/29/2019," 4,941,400 "," 71,300,029 "," 4,878,295 "," 274,652 "," 399,494 "," 336,067 ",,
1/30/2019," 4,458,633 "," 72,091,844 "," 4,927,748 "," 266,576 "," 398,013 "," 338,123 ",,
1/31/2019," 5,319,941 "," 72,605,864 "," 5,099,030 "," 250,341 "," 402,360 "," 338,697 ",,
